name,region,highway,cyclewayleft,cyclewayright,existing,osmid,geometry
,MiltonKeynes,cycleway,no,no,Track,34697896,"{""type"":""LineString"",""coordinates"":[[-0.77274,52.00824],[-0.77332,52.00784]]}"
,MiltonKeynes,cycleway,no,no,Track,34698536,"{""type"":""LineString"",""coordinates"":[[-0.76847,52.00535],[-0.76841,52.0053]]}"
,MiltonKeynes,cycleway,no,no,Track,34698536,"{""type"":""LineString"",""coordinates"":[[-0.76841,52.0053],[-0.7683,52.00523]]}"
,MiltonKeynes,cycleway,no,no,Track,34698536,"{""type"":""LineString"",""coordinates"":[[-0.7683,52.00523],[-0.7671,52.00461]]}"
,MiltonKeynes,cycleway,no,no,Track,34698536,"{""type"":""LineString"",""coordinates"":[[-0.7671,52.00461],[-0.76693,52.00453]]}"
,MiltonKeynes,cycleway,no,no,Track,34698540,"{""type"":""LineString"",""coordinates"":[[-0.76741,52.00563],[-0.7672,52.00565]]}"
,MiltonKeynes,cycleway,no,no,Track,34698540,"{""type"":""LineString"",""coordinates"":[[-0.7672,52.00565],[-0.76714,52.00566]]}"
,MiltonKeynes,cycleway,no,no,Track,34698540,"{""type"":""LineString"",""coordinates"":[[-0.76714,52.00566],[-0.76622,52.00656]]}"
,MiltonKeynes,cycleway,no,no,Track,34698540,"{""type"":""LineString"",""coordinates"":[[-0.76622,52.00656],[-0.76601,52.00676]]}"
,MiltonKeynes,cycleway,no,no,Track,34698540,"{""type"":""LineString"",""coordinates"":[[-0.76601,52.00676],[-0.76579,52.00692]]}"
,MiltonKeynes,cycleway,no,no,Track,34698540,"{""type"":""LineString"",""coordinates"":[[-0.76579,52.00692],[-0.76528,52.00711]]}"
,MiltonKeynes,cycleway,no,no,Track,34698540,"{""type"":""LineString"",""coordinates"":[[-0.76528,52.00711],[-0.76442,52.00752]]}"
,MiltonKeynes,cycleway,no,no,Track,34698540,"{""type"":""LineString"",""coordinates"":[[-0.76442,52.00752],[-0.76393,52.00825]]}"
,MiltonKeynes,cycleway,no,no,Track,34698540,"{""type"":""LineString"",""coordinates"":[[-0.76393,52.00825],[-0.76388,52.00826]]}"
,MiltonKeynes,cycleway,no,no,Track,34698576,"{""type"":""LineString"",""coordinates"":[[-0.75078,52.02733],[-0.74891,52.02808]]}"
,MiltonKeynes,cycleway,no,no,Track,34698576,"{""type"":""LineString"",""coordinates"":[[-0.74891,52.02808],[-0.74817,52.02837]]}"
,MiltonKeynes,cycleway,no,no,Track,34698768,"{""type"":""LineString"",""coordinates"":[[-0.79806,52.00591],[-0.79802,52.00601]]}"
,MiltonKeynes,cycleway,no,no,Track,34698768,"{""type"":""LineString"",""coordinates"":[[-0.79802,52.00601],[-0.79799,52.00608]]}"
,MiltonKeynes,cycleway,no,no,Track,34698768,"{""type"":""LineString"",""coordinates"":[[-0.79799,52.00608],[-0.79819,52.00662]]}"
,MiltonKeynes,cycleway,no,no,Track,34698768,"{""type"":""LineString"",""coordinates"":[[-0.79819,52.00662],[-0.79887,52.00704]]}"
,MiltonKeynes,cycleway,no,no,Track,34698768,"{""type"":""LineString"",""coordinates"":[[-0.79887,52.00704],[-0.79928,52.00715]]}"
,MiltonKeynes,cycleway,no,no,Track,34698768,"{""type"":""LineString"",""coordinates"":[[-0.79928,52.00715],[-0.80084,52.00762]]}"
,MiltonKeynes,cycleway,no,no,Track,34698768,"{""type"":""LineString"",""coordinates"":[[-0.80084,52.00762],[-0.80138,52.00776]]}"
,MiltonKeynes,cycleway,no,no,Track,34698768,"{""type"":""LineString"",""coordinates"":[[-0.80138,52.00776],[-0.80153,52.00783]]}"
,MiltonKeynes,cycleway,no,no,Track,34698768,"{""type"":""LineString"",""coordinates"":[[-0.80153,52.00783],[-0.80176,52.00793]]}"
,MiltonKeynes,cycleway,no,no,Track,34698768,"{""type"":""LineString"",""coordinates"":[[-0.80176,52.00793],[-0.80185,52.00788]]}"
,MiltonKeynes,cycleway,no,no,Track,34698768,"{""type"":""LineString"",""coordinates"":[[-0.80185,52.00788],[-0.80283,52.00727]]}"
,MiltonKeynes,cycleway,no,no,Track,34698768,"{""type"":""LineString"",""coordinates"":[[-0.80283,52.00727],[-0.80327,52.00746]]}"
,MiltonKeynes,cycleway,no,no,Track,34699168,"{""type"":""LineString"",""coordinates"":[[-0.75754,52.02611],[-0.7573,52.02598]]}"
,MiltonKeynes,cycleway,no,no,Track,34699168,"{""type"":""LineString"",""coordinates"":[[-0.7601,52.02755],[-0.75963,52.02707]]}"
,MiltonKeynes,cycleway,no,no,Track,34699168,"{""type"":""LineString"",""coordinates"":[[-0.7573,52.02598],[-0.75717,52.02589]]}"
,MiltonKeynes,cycleway,no,no,Track,34699168,
,MiltonKeynes,cycleway,no,no,Track,34699168,"{""type"":""LineString"",""coordinates"":[[-0.75717,52.02589],[-0.75695,52.02548]]}"
,MiltonKeynes,cycleway,no,no,Track,34699184,"{""type"":""LineString"",""coordinates"":[[-0.75873,52.0262],[-0.75885,52.02616]]}"
,MiltonKeynes,cycleway,no,no,Track,34699188,"{""type"":""LineString"",""coordinates"":[[-0.75885,52.02616],[-0.75924,52.02594]]}"
,MiltonKeynes,cycleway,no,no,Track,34699192,"{""type"":""LineString"",""coordinates"":[[-0.75924,52.02594],[-0.7594,52.02583]]}"
,MiltonKeynes,cycleway,no,no,Track,34700040,"{""type"":""LineString"",""coordinates"":[[-0.8041,52.00464],[-0.80441,52.00479]]}"
,MiltonKeynes,cycleway,no,no,Track,34700040,"{""type"":""LineString"",""coordinates"":[[-0.80441,52.00479],[-0.80447,52.00481]]}"
,MiltonKeynes,cycleway,no,no,Track,34700040,"{""type"":""LineString"",""coordinates"":[[-0.80447,52.00481],[-0.80546,52.0046]]}"
,MiltonKeynes,cycleway,no,no,Track,34700056,"{""type"":""LineString"",""coordinates"":[[-0.80402,52.00397],[-0.80401,52.0046]]}"
,MiltonKeynes,cycleway,no,no,Track,34700056,"{""type"":""LineString"",""coordinates"":[[-0.80401,52.0046],[-0.8041,52.00464]]}"
,MiltonKeynes,cycleway,no,no,Track,34700060,"{""type"":""LineString"",""coordinates"":[[-0.80411,52.00383],[-0.80403,52.00387]]}"
,MiltonKeynes,cycleway,no,no,Track,34700080,"{""type"":""LineString"",""coordinates"":[[-0.80632,52.00268],[-0.80605,52.00256]]}"
,MiltonKeynes,cycleway,no,no,Track,34700088,"{""type"":""LineString"",""coordinates"":[[-0.80522,52.00358],[-0.8054,52.00368]]}"
,MiltonKeynes,cycleway,no,no,Track,34700088,"{""type"":""LineString"",""coordinates"":[[-0.8054,52.00368],[-0.80583,52.00384]]}"
,MiltonKeynes,cycleway,no,no,Track,34700092,"{""type"":""LineString"",""coordinates"":[[-0.80583,52.00384],[-0.80596,52.0039]]}"
,MiltonKeynes,cycleway,no,no,Track,34700092,"{""type"":""LineString"",""coordinates"":[[-0.80596,52.0039],[-0.80614,52.00398]]}"
,MiltonKeynes,cycleway,no,no,Track,34700104,"{""type"":""LineString"",""coordinates"":[[-0.80402,52.00397],[-0.80388,52.00394]]}"
,MiltonKeynes,cycleway,no,no,Track,34700412,"{""type"":""LineString"",""coordinates"":[[-0.80234,52.00113],[-0.80194,52.00058]]}"
,MiltonKeynes,cycleway,no,no,Track,34700412,"{""type"":""LineString"",""coordinates"":[[-0.80194,52.00058],[-0.8019,52.00053]]}"
,MiltonKeynes,cycleway,no,no,Track,34700412,"{""type"":""LineString"",""coordinates"":[[-0.8019,52.00053],[-0.80129,51.99969]]}"
,MiltonKeynes,cycleway,no,no,Track,34700412,"{""type"":""LineString"",""coordinates"":[[-0.80129,51.99969],[-0.80123,51.99961]]}"
,MiltonKeynes,cycleway,no,no,Track,34700412,"{""type"":""LineString"",""coordinates"":[[-0.80123,51.99961],[-0.79936,51.99783]]}"
,MiltonKeynes,cycleway,no,no,Track,34700412,"{""type"":""LineString"",""coordinates"":[[-0.79936,51.99783],[-0.79909,51.99768]]}"
,MiltonKeynes,cycleway,no,no,Track,34700828,"{""type"":""LineString"",""coordinates"":[[-0.80401,52.0046],[-0.80201,52.00636]]}"
,MiltonKeynes,cycleway,no,no,Track,34700828,"{""type"":""LineString"",""coordinates"":[[-0.80201,52.00636],[-0.80191,52.00643]]}"
