recommended,geometry
Stepped Cycle Tracks,"{""type"":""LineString"",""coordinates"":[[-0.09207,51.44114],[-0.09213,51.44114]]}"
Stepped Cycle Tracks,"{""type"":""LineString"",""coordinates"":[[-0.09213,51.44114],[-0.09241,51.44112]]}"
Stepped Cycle Tracks,"{""type"":""LineString"",""coordinates"":[[-0.09241,51.44112],[-0.09255,51.44111]]}"
Stepped Cycle Tracks,"{""type"":""LineString"",""coordinates"":[[-0.09255,51.44111],[-0.0929,51.44108]]}"
Stepped Cycle Tracks,"{""type"":""LineString"",""coordinates"":[[-0.04711,51.3981],[-0.04679,51.39821]]}"
Stepped Cycle Tracks,"{""type"":""LineString"",""coordinates"":[[-0.0529,51.39149],[-0.05219,51.39244]]}"
Stepped Cycle Tracks,"{""type"":""LineString"",""coordinates"":[[-0.05219,51.39244],[-0.05207,51.39261]]}"
Stepped Cycle Tracks,"{""type"":""LineString"",""coordinates"":[[-0.05207,51.39261],[-0.052,51.39278]]}"
Stepped Cycle Tracks,"{""type"":""LineString"",""coordinates"":[[-0.052,51.39278],[-0.05196,51.3929]]}"
Stepped Cycle Tracks,"{""type"":""LineString"",""coordinates"":[[-0.05196,51.3929],[-0.05186,51.39325]]}"
Cycle Street,"{""type"":""LineString"",""coordinates"":[[-0.01514,51.5679],[-0.01665,51.56739]]}"
Cycle Street,"{""type"":""LineString"",""coordinates"":[[-0.01665,51.56739],[-0.01731,51.56718]]}"
Cycle Street,"{""type"":""LineString"",""coordinates"":[[-0.01731,51.56718],[-0.01778,51.56702]]}"
Cycle Street,"{""type"":""LineString"",""coordinates"":[[-0.01778,51.56702],[-0.01783,51.56701]]}"
Stepped Cycle Tracks,"{""type"":""LineString"",""coordinates"":[[-0.11145,51.49647],[-0.11025,51.49675]]}"
Stepped Cycle Tracks,"{""type"":""LineString"",""coordinates"":[[-0.10379,51.45276],[-0.10297,51.45251]]}"
Stepped Cycle Tracks,"{""type"":""LineString"",""coordinates"":[[-0.10297,51.45251],[-0.10254,51.45242]]}"
Stepped Cycle Tracks,"{""type"":""LineString"",""coordinates"":[[-0.0784,51.42043],[-0.07831,51.42061]]}"
Cycle Lanes,"{""type"":""LineString"",""coordinates"":[[-0.01303,51.5575],[-0.01275,51.55759]]}"
Cycle Lanes,"{""type"":""LineString"",""coordinates"":[[-0.01275,51.55759],[-0.01151,51.558]]}"
Cycle Lanes,"{""type"":""LineString"",""coordinates"":[[-0.26845,51.34288],[-0.26715,51.34207]]}"
Cycle Lanes,"{""type"":""LineString"",""coordinates"":[[-0.27169,51.35938],[-0.26955,51.35774]]}"
Stepped Cycle Tracks,"{""type"":""LineString"",""coordinates"":[[-0.06566,51.47241],[-0.06547,51.47177]]}"
Stepped Cycle Tracks,"{""type"":""LineString"",""coordinates"":[[-0.06547,51.47177],[-0.06525,51.47146]]}"
Stepped Cycle Tracks,"{""type"":""LineString"",""coordinates"":[[-0.06525,51.47146],[-0.06464,51.47124]]}"
