name,region,width,geometry
,Medway,0,"{""type"":""LineString"",""coordinates"":[[0.51489,51.39038],[0.51506,51.39038]]}"
,Medway,0,"{""type"":""LineString"",""coordinates"":[[0.51506,51.39038],[0.51511,51.39061]]}"
,Medway,0,"{""type"":""LineString"",""coordinates"":[[0.51506,51.39038],[0.51489,51.39038]]}"
,Medway,0,"{""type"":""LineString"",""coordinates"":[[0.51746,51.39057],[0.51702,51.38976]]}"
Neptune Close,Medway,10.9,"{""type"":""LineString"",""coordinates"":[[0.51846,51.3914],[0.51931,51.39122]]}"
Anthonys Way,Medway,10.9,"{""type"":""LineString"",""coordinates"":[[0.51746,51.39564],[0.51725,51.39519]]}"
Neptune Close,Medway,10.9,"{""type"":""LineString"",""coordinates"":[[0.51736,51.39477],[0.51694,51.39497]]}"
Sir Thomas Longley Road,Medway,10.9,"{""type"":""LineString"",""coordinates"":[[0.51643,51.39481],[0.51666,51.39513]]}"
Whitewall Road,Medway,10.9,"{""type"":""LineString"",""coordinates"":[[0.51625,51.39553],[0.51682,51.39533]]}"
Wainscott Road,Medway,7.25,"{""type"":""LineString"",""coordinates"":[[0.5092,51.40671],[0.50953,51.40662]]}"
,Medway,3,"{""type"":""LineString"",""coordinates"":[[0.50713,51.40377],[0.50761,51.40367]]}"
,Medway,3,"{""type"":""LineString"",""coordinates"":[[0.50761,51.40367],[0.50762,51.40353]]}"
,Medway,3,"{""type"":""LineString"",""coordinates"":[[0.50761,51.40367],[0.50787,51.4036]]}"
,Medway,3,"{""type"":""LineString"",""coordinates"":[[0.50681,51.40371],[0.50681,51.40365]]}"
,Medway,3,"{""type"":""LineString"",""coordinates"":[[0.50681,51.40365],[0.50682,51.40313]]}"
,Medway,3,"{""type"":""LineString"",""coordinates"":[[0.50682,51.40313],[0.50682,51.40308]]}"
,Medway,3,"{""type"":""LineString"",""coordinates"":[[0.50682,51.40308],[0.50684,51.40279]]}"
,Medway,3,"{""type"":""LineString"",""coordinates"":[[0.50392,51.2956],[0.50392,51.29552]]}"
,Medway,3,"{""type"":""LineString"",""coordinates"":[[0.50392,51.29563],[0.50392,51.2956]]}"
,Medway,10.9,"{""type"":""LineString"",""coordinates"":[[0.47926,51.30281],[0.47899,51.30251]]}"
,Medway,3,"{""type"":""LineString"",""coordinates"":[[0.50392,51.29552],[0.50392,51.2955]]}"
,Medway,10.9,"{""type"":""LineString"",""coordinates"":[[0.56911,51.36952],[0.56894,51.36931]]}"
