region,cost,costbenratio,totalben,costperperson,ncyclebefore,ncycleafter,type,change,per,length,ndrivebefore,ndriveafter,carkmbefore,carkmafter,carkm,absenteeismbenefit,healthdeathavoided,healthbenefit,qualitybenefit,accidentsbenefit,co2saved,ghgbenefit,congestionbenefit,geometry
Ashford,109047,1.22,133460,8174,103,116,Stepped Cycle Tracks,13,13,230.684,1668,1658,5350824,5329649,-21174.6,31200,0.00843855313017226,71500,0,2990,502.832365127511,270,27500,"{""type"":""MultiLineString"",""coordinates"":[[[0.88163,51.15811],[0.88152,51.15806]],[[0.88146,51.15811],[0.88158,51.15815]],[[0.88185,51.1582],[0.88163,51.15811]],[[0.88241,51.15841],[0.88185,51.1582]],[[0.88219,51.15864],[0.88172,51.15911]],[[0.88179,51.15825],[0.88234,51.15846]],[[0.88234,51.15846],[0.88219,51.15863]],[[0.88158,51.15815],[0.88179,51.15825]]]}"
Ashford,99688,1.51,150248,5899,142,159,Cycle Lanes,17,11.9,216.717,1929,1918,5449488,5426380,-23107.6,34300,0.00971706760984078,82400,0,3270,517.639115362462,278,30000,"{""type"":""MultiLineString"",""coordinates"":[[[0.88441,51.14564],[0.88487,51.14535]],[[0.88402,51.14586],[0.88441,51.14564]],[[0.88487,51.14535],[0.8861,51.14614]],[[0.8861,51.14614],[0.88618,51.14623]]]}"
Ashford,209492,3.33,697520,3651,50,107,Cycle Lane on Path,57,114.8,1496.41,1049,1004,4127347,4018822,-108526,166000,0.0441795846214484,374000,0,15300,2268.31269550766,1220,141000,"{""type"":""MultiLineString"",""coordinates"":[[[0.87965,51.12154],[0.87975,51.12155]],[[0.87975,51.12155],[0.87948,51.12693]],[[0.87948,51.12693],[0.87795,51.13067]],[[0.87795,51.13067],[0.8781,51.13076]],[[0.8781,51.13076],[0.87897,51.13218]],[[0.87897,51.13218],[0.87882,51.13343]],[[0.87882,51.13343],[0.87873,51.13348]],[[0.87873,51.13348],[0.87826,51.13377]],[[0.87826,51.13377],[0.87825,51.13384]],[[0.87825,51.13384],[0.87823,51.13393]]]}"
Ashford,147403,1.26,186123,7494,115,135,Cycle Lanes,20,17.1,320.443,1722,1708,4515390,4487813,-27577.3,44100,0.0120254147905998,102000,0,3900,601.254186730127,323,35800,"{""type"":""MultiLineString"",""coordinates"":[[[0.9054,51.14219],[0.905,51.14169]],[[0.90731,51.14217],[0.90553,51.14216]],[[0.90731,51.14217],[0.90782,51.14314]]]}"
Ashford,40592,5.63,228422,967,295,337,Cycle Lane on Path,42,14.2,340.356,3261,3238,10256729,10219322,-37406.8,44200,0.0152201840042078,130000,0,5290,802.863607179455,432,48500,"{""type"":""MultiLineString"",""coordinates"":[[[0.87115,51.14774],[0.87125,51.14771]],[[0.8716,51.14831],[0.87115,51.14774]],[[0.87103,51.14848],[0.8716,51.14831]],[[0.87103,51.14848],[0.87147,51.149]],[[0.87147,51.149],[0.87112,51.14912]],[[0.87147,51.149],[0.87173,51.1493]],[[0.87173,51.1493],[0.8719,51.14941]],[[0.87211,51.15002],[0.8719,51.14941]]]}"
Barnsley,146675,1.43,209358,9065,60,76,Cycle Lanes,16,27,318.861,2541,2529,8580330,8548898,-31432.6,50700,0.0133356593900258,113000,0,4440,777.464017290184,418,40800,"{""type"":""MultiLineString"",""coordinates"":[[[-1.45559,53.5813],[-1.45458,53.58241]],[[-1.45458,53.58241],[-1.45331,53.58325]],[[-1.45331,53.58325],[-1.45311,53.58336]],[[-1.45311,53.58336],[-1.45274,53.58356]]]}"
Barnstaple,330664,1.35,444756,10906,236,266,Stepped Cycle Tracks,30,12.8,524.401,3102,3082,12661071,12586747,-74323.7,113000,0.0261648481809476,224000,0,10500,1591.16722020518,856,96400,"{""type"":""MultiLineString"",""coordinates"":[[[-4.06116,51.07682],[-4.06105,51.07686]],[[-4.05939,51.07804],[-4.06078,51.07698]],[[-4.06105,51.07686],[-4.06078,51.07698]],[[-4.06078,51.07698],[-4.06086,51.07689]],[[-4.05936,51.07805],[-4.05939,51.07804]],[[-4.05934,51.07808],[-4.05936,51.07805]],[[-4.05802,51.07817],[-4.05774,51.07883]],[[-4.05877,51.07877],[-4.05879,51.07861]],[[-4.05872,51.0789],[-4.05877,51.07877]],[[-4.05863,51.07897],[-4.05872,51.0789]],[[-4.05827,51.07946],[-4.05863,51.07897]],[[-4.05879,51.07861],[-4.05865,51.07826]],[[-4.05816,51.07818],[-4.05802,51.07817]],[[-4.05891,51.07826],[-4.05934,51.07808]],[[-4.05832,51.07821],[-4.05816,51.07818]],[[-4.05847,51.07824],[-4.05832,51.07821]],[[-4.05865,51.07826],[-4.05848,51.07824]],[[-4.05891,51.07826],[-4.05865,51.07826]]]}"
Barnstaple,119389,2.07,247288,4594,235,261,Cycle Lanes,26,11.1,264.264,2919,2906,12439218,12398041,-41177,57600,0.0151516125203872,130000,0,5820,870.760484613746,468,53400,"{""type"":""MultiLineString"",""coordinates"":[[[-4.05774,51.07883],[-4.05703,51.07891]],[[-4.05703,51.07891],[-4.05699,51.07894]],[[-4.05699,51.07894],[-4.05682,51.07902]],[[-4.05682,51.07902],[-4.0567,51.07906]],[[-4.0567,51.07906],[-4.0566,51.0791]],[[-4.0566,51.0791],[-4.0565,51.07912]],[[-4.0565,51.07912],[-4.05636,51.07915]],[[-4.05643,51.07924],[-4.05636,51.07915]],[[-4.05562,51.07945],[-4.05603,51.07932]],[[-4.05603,51.07932],[-4.05643,51.07924]],[[-4.05559,51.07945],[-4.05562,51.07945]],[[-4.05559,51.07945],[-4.05553,51.07947]],[[-4.057,51.07984],[-4.05671,51.07956]],[[-4.05671,51.07956],[-4.05643,51.07924]]]}"
Barnstaple,167076,1.24,207374,11124,135,150,Cycle Lanes,15,11.1,363.212,1761,1751,7442317,7405836,-36481.8,53500,0.0117904797069977,101000,0,5160,770.660959148144,414,47300,"{""type"":""MultiLineString"",""coordinates"":[[[-4.0608,51.08565],[-4.06094,51.08566]],[[-4.05835,51.0863],[-4.0608,51.08565]],[[-4.05835,51.0863],[-4.05832,51.08646]],[[-4.05832,51.08646],[-4.05827,51.08676]],[[-4.05827,51.08676],[-4.05697,51.08725]]]}"
BarrowinFurness,340389,1.07,362725,5907,543,601,Cycle Lanes,58,10.6,719.573,5564,5531,14176156,14118583,-57573.5,78200,0.0236906149142721,201000,0,8140,1273.36520582478,685,74700,"{""type"":""MultiLineString"",""coordinates"":[[[-3.22309,54.11456],[-3.22295,54.11441]],[[-3.22324,54.11472],[-3.22309,54.11456]],[[-3.2234,54.11489],[-3.22324,54.11472]],[[-3.22359,54.11508],[-3.2234,54.11489]],[[-3.22374,54.11523],[-3.22359,54.11508]],[[-3.22391,54.1154],[-3.22374,54.11523]],[[-3.2241,54.11559],[-3.22391,54.1154]],[[-3.22778,54.11605],[-3.22783,54.11602]],[[-3.22445,54.11785],[-3.22563,54.11722]],[[-3.22563,54.11722],[-3.22534,54.11688]],[[-3.22534,54.11688],[-3.22499,54.11652]],[[-3.22563,54.11722],[-3.22778,54.11605]],[[-3.22407,54.11808],[-3.22445,54.11785]],[[-3.224,54.11812],[-3.22407,54.11808]],[[-3.22394,54.11815],[-3.224,54.11812]],[[-3.22378,54.11823],[-3.22394,54.11815]],[[-3.22499,54.11652],[-3.2241,54.11559]]]}"
Bristol,48362,9.28,449019,1722,282,310,Cycle Lanes,28,10,325.189,2992,2975,10991726,10935925,-55801.8,118000,0.0296106883334408,250000,0,7890,1355.8113866245,729,72400,"{""type"":""MultiLineString"",""coordinates"":[[[-2.53639,51.4588],[-2.53592,51.45928]],[[-2.53877,51.45921],[-2.54002,51.45938]],[[-2.53639,51.4588],[-2.53877,51.45921]]]}"
